movie	production_budget	domestic_gross	worldwide_gross	mpaa_rating	genre
0	Evan Almighty	175000000.0	100289690.0	174131329.0	PG	Comedy
1	Waterworld	175000000.0	88246220.0	264246220.0	PG-13	Action
2	King Arthur: Legend of the Sword	175000000.0	39175066.0	139950708.0	PG-13	Adventure
3	47 Ronin	175000000.0	38362475.0	151716815.0	PG-13	Action
4	Jurassic World: Fallen Kingdom	170000000.0	416769345.0	1304866322.0	PG-13	Action
5	Guardians of the Galaxy	170000000.0	333172112.0	771051335.0	PG-13	Action
6	Iron Man 2	170000000.0	312433331.0	621156389.0	PG-13	Action
7	Captain America: The Winter Soldier	170000000.0	259746958.0	714401889.0	PG-13	Action
8	Dawn of the Planet of the Apes	170000000.0	208545589.0	710644566.0	PG-13	Adventure
9	The Polar Express	170000000.0	186493587.0	310634169.0	G	Adventure
10	Snow White and the Huntsman	170000000.0	155136755.0	401021746.0	PG-13	Adventure
11	Terminator 3: Rise of the Machines	170000000.0	150358296.0	433058296.0	R	Action
12	Van Helsing	170000000.0	120150546.0	300150546.0	PG-13	Action
13	Tomorrowland	170000000.0	93436322.0	207283457.0	PG	Adventure
14	Alice Through the Looking Glass	170000000.0	77042381.0	276934087.0	PG	Adventure
15	Shrek Forever After	165000000.0	238736787.0	756244673.0	PG	Adventure
16	Doctor Strange	165000000.0	232641920.0	676486457.0	PG-13	Action
17	Big Hero 6	165000000.0	222527828.0	652127828.0	PG	Adventure
18	How to Train Your Dragon	165000000.0	217581232.0	494870992.0	PG	Adventure
19	Wreck-It Ralph	165000000.0	189412677.0	496511521.0	PG	Adventure
20	Interstellar	165000000.0	188017894.0	667752422.0	PG-13	Adventure
21	Independence Day: Resurgence	165000000.0	103144286.0	384413934.0	PG-13	Action
22	Cowboys and Aliens	163000000.0	100368560.0	176038324.0	PG-13	Action
23	Shrek the Third	160000000.0	322719944.0	807330936.0	PG	Adventure
24	Fast and Furious 6	160000000.0	238679850.0	789300444.0	PG-13	Action
25	X-Men: First Class	160000000.0	146408305.0	355408305.0	PG-13	Action
