YEAR,SAMPLE,OWNERSHP,VALUEH,HHWT
2024,202401,1,900000,62.0
2024,202401,1,300000,93.0
2024,202401,1,950000,41.0
2024,202401,1,300000,105.0
2024,202401,1,100000,13.0
2024,202401,1,5000,58.0
2024,202401,1,301000,54.0
2024,202401,1,500000,76.0
2024,202401,1,550000,76.0
2024,202401,1,225000,31.0
2024,202401,1,2000000,29.0
2024,202401,1,587000,51.0
2024,202401,1,507000,44.0
2024,202401,1,50000,11.0
2024,202401,1,130000,64.0
2024,202401,1,320000,118.0
2024,202401,1,550000,207.0
2024,202401,1,680000,67.0
2024,202401,1,300000,5.0
2024,202401,1,270000,165.0
2024,202401,1,250000,579.0
2024,202401,1,250000,59.0
2024,202401,1,179000,56.0
2024,202401,1,65000,25.0
2024,202401,1,400000,74.0
2024,202401,1,525000,35.0
2024,202401,1,800000,76.0
2024,202401,1,400000,409.0
2024,202401,1,1000000,103.0
2024,202401,1,220000,37.0
2024,202401,1,195000,19.0
2024,202401,1,150000,76.0
2024,202401,1,500000,135.0
2024,202401,1,220000,18.0
2024,202401,1,225000,30.0
2024,202401,1,400000,78.0
2024,202401,1,450000,19.0
2024,202401,1,375000,29.0
2024,202401,1,560000,76.0
2024,202401,1,185000,78.0
2024,202401,1,300000,44.0
2024,202401,1,200000,67.0
2024,202401,1,3200000,145.0
2024,202401,1,625000,62.0
2024,202401,1,400000,98.0
2024,202401,1,1000000,61.0
2024,202401,1,27000,198.0
2024,202401,1,300000,283.0
2024,202401,1,200000,122.0
2024,202401,1,550000,70.0
2024,202401,1,550000,96.0
2024,202401,1,315000,70.0
2024,202401,1,300000,79.0
2024,202401,1,180000,178.0
2024,202401,1,120000,12.0
2024,202401,1,250000,44.0
2024,202401,1,250000,169.0
2024,202401,1,605000,71.0
2024,202401,1,60000,19.0
2024,202401,1,600000,149.0
2024,202401,1,500000,40.0
2024,202401,1,260000,47.0
2024,202401,1,375000,39.0
2024,202401,1,275000,41.0
2024,202401,1,300000,55.0
2024,202401,1,120000,71.0
2024,202401,1,850000,53.0
2024,202401,1,700000,68.0
2024,202401,1,1400,108.0
2024,202401,1,500000,327.0
2024,202401,1,490000,62.0
2024,202401,1,275000,152.0
2024,202401,1,1800000,84.0
2024,202401,1,1250000,51.0
2024,202401,1,700000,253.0
2024,202401,1,150000,34.0
2024,202401,1,900000,77.0
2024,202401,1,285000,83.0
2024,202401,1,150000,31.0
2024,202401,1,47500,166.0
2024,202401,1,1900000,68.0
2024,202401,1,120000,30.0
2024,202401,1,250000,55.0
2024,202401,1,1000000,65.0
2024,202401,1,850000,26.0
2024,202401,1,50000,63.0
2024,202401,1,185000,66.0
2024,202401,1,250000,61.0
2024,202401,1,350000,18.0
2024,202401,1,350000,196.0
2024,202401,1,220000,95.0
2024,202401,1,800000,61.0
2024,202401,1,320000,147.0
2024,202401,1,200000,155.0
2024,202401,1,500000,37.0
2024,202401,1,270000,104.0
2024,202401,1,120000,20.0
2024,202401,1,650000,51.0
2024,202401,1,200000,36.0
2024,202401,1,500000,43.0
2024,202401,1,100000,468.0
2024,202401,1,190000,107.0
2024,202401,1,2100000,100.0
2024,202401,1,25000,107.0
2024,202401,1,45000,12.0
2024,202401,1,600000,186.0
2024,202401,1,250000,161.0
2024,202401,1,350000,107.0
2024,202401,1,350000,48.0
2024,202401,1,310000,107.0
2024,202401,1,80000,59.0
2024,202401,1,400000,25.0
2024,202401,1,35000,59.0
2024,202401,1,175000,39.0
2024,202401,1,10000,67.0
2024,202401,1,300000,343.0
2024,202401,1,150000,17.0
2024,202401,1,1300,25.0
2024,202401,1,475000,87.0
2024,202401,1,250000,58.0
2024,202401,1,250000,60.0
2024,202401,1,500000,59.0
2024,202401,1,350000,21.0
2024,202401,1,185000,102.0
2024,202401,1,250000,11.0
2024,202401,1,140000,69.0
2024,202401,1,400000,98.0
2024,202401,1,390000,34.0
2024,202401,1,1275000,193.0
2024,202401,1,545000,214.0
2024,202401,1,60000,66.0
2024,202401,1,278000,66.0
2024,202401,1,10000,40.0
2024,202401,1,150000,23.0
2024,202401,1,180000,51.0
2024,202401,1,600000,226.0
2024,202401,1,150000,39.0
2024,202401,1,200000,134.0
2024,202401,1,500000,27.0
2024,202401,1,400000,58.0
2024,202401,1,75000,230.0
2024,202401,1,325000,40.0
2024,202401,1,850000,130.0
2024,202401,1,450000,393.0
2024,202401,1,825000,57.0
2024,202401,1,160000,40.0
2024,202401,1,600000,38.0
2024,202401,1,1300000,67.0
2024,202401,1,200000,70.0
2024,202401,1,250000,92.0
2024,202401,1,800000,81.0
2024,202401,1,500000,246.0
2024,202401,1,675000,62.0
2024,202401,1,350000,245.0
2024,202401,1,1500000,47.0
2024,202401,1,2000000,26.0
2024,202401,1,675000,114.0
2024,202401,1,314000,111.0
2024,202401,1,250000,47.0
2024,202401,1,485000,127.0
2024,202401,1,300000,125.0
2024,202401,1,1750000,54.0
2024,202401,1,1300000,69.0
2024,202401,1,600000,133.0
2024,202401,1,200000,21.0
2024,202401,1,990000,279.0
2024,202401,1,250000,75.0
2024,202401,1,500000,147.0
2024,202401,1,200000,27.0
2024,202401,1,150000,356.0
2024,202401,1,120000,22.0
2024,202401,1,600000,82.0
2024,202401,1,300000,45.0
2024,202401,1,4600,44.0
2024,202401,1,175000,167.0
2024,202401,1,300000,24.0
2024,202401,1,300000,68.0
2024,202401,1,275000,71.0
2024,202401,1,85000,13.0
2024,202401,1,900000,120.0
2024,202401,1,350000,182.0
2024,202401,1,285000,385.0
