AGE,SEX,EDUC,INCTOT,PERWT
55,2,11,35500,7100
32,1,10,55000,2000
77,1,11,54800,5600
88,2,6,23600,7400
70,1,6,69000,5700
76,2,8,30600,2400
54,2,10,300000,3500
86,1,10,41200,1400
61,2,6,1200,4600
63,2,6,119000,15200
77,1,10,153000,9600
84,2,6,16800,1400
79,2,6,14000,3000
25,1,6,50000,4300
75,2,7,32400,3200
46,1,8,100030,4100
69,1,6,41210,5900
70,2,6,7500,1600
29,1,6,40000,2900
27,2,6,19000,14400
57,1,6,42000,6300
70,2,7,27300,6500
72,2,6,8400,3000
80,2,7,73700,4600
55,1,0,5700,12400
81,2,0,11100,800
50,2,6,76000,1200
92,1,6,47300,7300
72,1,6,13000,5500
75,1,6,53600,13600
40,2,7,44500,7600
38,2,8,90000,6800
29,2,10,89800,17300
84,2,6,24000,8700
38,1,6,10000,2400
72,2,7,25000,15400
36,1,8,55000,8400
81,1,11,9400,7200
85,1,7,6000,9700
42,1,11,69000,19000
67,1,2,24400,1800
58,1,6,35000,10300
67,2,7,100080,5200
30,1,6,3000,43700
84,1,4,18000,11200
31,1,6,29700,11200
34,2,10,43600,12200
60,2,8,65000,5000
55,1,6,40000,5700
66,1,7,67100,3100
37,2,10,53000,7700
64,1,11,181000,6100
76,2,6,36400,9000
50,2,10,55800,2500
33,1,6,78000,2800
46,1,10,25000,1400
35,1,10,90000,7000
83,2,10,7900,5000
62,1,11,300000,4900
79,1,11,96400,4200
58,2,8,17000,3900
68,2,6,75000,5800
56,1,3,100000,7300
62,1,10,70000,8200
81,2,6,32100,4300
31,1,10,60000,6700
50,1,6,25700,1700
32,1,10,86000,12300
27,2,10,12000,3100
66,1,6,170000,8900
57,1,11,268000,4700
37,1,11,300300,5600
65,1,6,34000,1600
64,2,7,17300,3500
52,2,6,75000,6500
37,1,8,170000,4800
58,2,10,90000,15100
83,2,6,23900,3600
40,2,11,19000,9900
46,1,4,5800,2800
63,2,6,58900,9300
88,1,6,18000,1900
29,1,6,60000,17500
45,1,11,88000,8900
65,2,7,21000,5400
82,1,10,66500,8500
34,2,6,7200,6600
45,1,7,72000,10800
83,2,8,23000,3100
51,2,11,125000,7400
35,1,11,120000,5600
71,2,11,35000,6700
32,1,8,32000,16000
42,2,6,28500,6500
39,1,10,302000,7000
45,2,10,80000,5400
33,2,10,27200,25000
51,2,0,26000,3200
86,2,6,57000,700
70,1,11,63600,13700
76,1,11,493000,5400
77,2,6,29900,9200
80,2,6,9500,1200
63,2,6,38000,3300
48,2,6,50000,7200
46,2,6,25000,12400
56,1,6,107800,1000
28,2,3,750,32500
39,2,10,10000,42700
70,2,6,11800,4400
30,2,8,35000,4800
72,2,10,10600,2400
74,2,11,7700,35600
42,2,7,130000,2600
59,2,6,33000,7700
43,1,7,80000,22900
47,1,6,29300,13600
88,2,7,59400,9100
46,1,10,150000,6000
42,1,10,50000,5600
43,1,6,44000,25300
49,1,7,175000,10300
65,2,7,36000,10500
54,2,7,14400,31200
83,2,6,43600,2400
46,1,6,140000,11300
88,2,6,2000,8600
72,2,10,67100,2500
59,1,6,18900,5900
50,1,6,100000,3400
48,1,6,11300,5000
58,1,8,74000,7300
46,2,6,200,3400
62,1,6,120000,21500
42,2,10,15000,38600
94,2,6,16800,3300
37,2,6,30000,7500
56,2,0,60000,23100
66,1,6,60000,5100
36,2,6,45000,12100
25,2,10,31000,6100
32,1,10,90000,15700
78,1,11,38200,7100
68,2,6,390,4400
60,1,11,96000,5400
29,1,10,63000,14800
69,1,6,46600,9900
61,2,11,119000,7500
32,1,10,80000,7700
53,2,6,40000,3100
