occupation,soc_code,occupation_type,employment_2024_thousands,employment_2034_thousands,employment_change_thousands,employment_change_percent,annual_openings_thousands,median_wage_2024,education_entry,work_experience,on_the_job_training
      Chief executives,11-1011,Line item,309.4,322.7,13.3,4.3,22.2,206420,Bachelor's degree,5 years or more,
      General and operations managers,11-1021,Line item,3712.9,3876.8,164,4.4,308.7,102950,Bachelor's degree,5 years or more,
      Legislators,11-1031,Line item,27.7,28.6,0.9,3.4,2.2,44810,Bachelor's degree,Less than 5 years,
      Advertising and promotions managers,Nov-11,Line item,27,26.4,-0.6,-2.2,2.1,126960,Bachelor's degree,Less than 5 years,
        Marketing managers,Nov-21,Line item,407,433.7,26.7,6.6,34.3,161030,Bachelor's degree,5 years or more,
        Sales managers,Nov-22,Line item,619.5,648.5,29,4.7,49,138060,Bachelor's degree,Less than 5 years,
        Public relations managers,Nov-32,Line item,83.2,87.3,4.1,5,6.6,138520,Bachelor's degree,5 years or more,
        Fundraising managers,Nov-33,Line item,45.7,47.6,1.9,4.2,3.6,123480,Bachelor's degree,5 years or more,
        Administrative services managers,Nov-12,Line item,271.2,283.8,12.6,4.6,23.2,108390,Bachelor's degree,Less than 5 years,
        Facilities managers,Nov-13,Line item,151.4,157.1,5.7,3.8,13.2,104690,Bachelor's degree,Less than 5 years,
      Computer and information systems managers,Nov-21,Line item,667.1,768.7,101.6,15.2,55.6,171200,Bachelor's degree,5 years or more,
      Financial managers,Nov-31,Line item,868.6,997.4,128.8,14.8,74.6,161700,Bachelor's degree,5 years or more,
      Industrial production managers,Nov-51,Line item,241.9,246.5,4.6,1.9,17.1,121440,Bachelor's degree,5 years or more,
      Purchasing managers,Nov-61,Line item,83.5,86.1,2.6,3.1,6.4,139510,Bachelor's degree,5 years or more,
"      Transportation, storage, and distribution managers",Nov-71,Line item,216.7,229.8,13.1,6.1,18.5,102010,High school diploma or equivalent,5 years or more,
      Compensation and benefits managers,Nov-11,Line item,20.9,20.9,0,0.2,1.5,140360,Bachelor's degree,5 years or more,
      Human resources managers,Nov-21,Line item,221.9,233,11.1,5,17.9,140030,Bachelor's degree,5 years or more,
      Training and development managers,Nov-31,Line item,46.4,49.2,2.7,5.8,3.8,127090,Bachelor's degree,5 years or more,
"      Farmers, ranchers, and other agricultural managers",Nov-13,Line item,836.1,825,-11.1,-1.3,85.5,87980,High school diploma or equivalent,5 years or more,
      Construction managers,Nov-21,Line item,550.3,598.4,48.1,8.7,46.8,106980,Bachelor's degree,,Moderate-term on-the-job training
"        Education and childcare administrators, preschool and daycare",Nov-31,Line item,90.2,87.9,-2.3,-2.5,5.5,56270,Bachelor's degree,Less than 5 years,
"        Education administrators, kindergarten through secondary",Nov-32,Line item,333.3,328.1,-5.1,-1.5,20.8,104070,Master's degree,5 years or more,
"        Education administrators, postsecondary",Nov-33,Line item,226.6,230.5,4,1.7,15.1,103960,Master's degree,Less than 5 years,
"        Education administrators, all other",Nov-39,Line item,60.2,61.7,1.5,2.5,4.1,89040,Bachelor's degree,Less than 5 years,
      Architectural and engineering managers,Nov-41,Line item,212.5,220.5,8,3.8,14.5,167740,Bachelor's degree,5 years or more,
      Food service managers,Nov-51,Line item,352.8,375.3,22.6,6.4,42,65310,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
        Gambling managers,Nov-71,Line item,5.1,5.2,0.1,1.2,0.6,85580,High school diploma or equivalent,Less than 5 years,
"        Entertainment and recreation managers, except gambling",Nov-72,Line item,43.2,46.5,3.3,7.7,5.5,77180,Bachelor's degree,Less than 5 years,
      Lodging managers,Nov-81,Line item,52,53.8,1.8,3.4,5.4,68130,High school diploma or equivalent,Less than 5 years,
      Medical and health services managers,Nov-11,Line item,616.2,759.1,142.9,23.2,62.1,117960,Bachelor's degree,Less than 5 years,
      Natural sciences managers,Nov-21,Line item,104.3,108.2,3.9,3.7,8.5,161180,Bachelor's degree,5 years or more,
      Postmasters and mail superintendents,Nov-31,Line item,13.1,12.7,-0.5,-3.5,0.9,92730,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"      Property, real estate, and community association managers",Nov-41,Line item,466.1,483.1,17,3.6,39,66700,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training
      Social and community service managers,Nov-51,Line item,219.8,233.9,14.1,6.4,18.6,78240,Bachelor's degree,Less than 5 years,
      Emergency management directors,Nov-61,Line item,13.2,13.6,0.4,3,1,86130,Bachelor's degree,5 years or more,
        Funeral home managers,Nov-71,Line item,32.1,33.4,1.3,4.1,2.6,76830,Associate's degree,Less than 5 years,
"        Personal service managers, all other",Nov-79,Line item,25.1,26.7,1.6,6.5,2.1,61340,High school diploma or equivalent,Less than 5 years,
"      Managers, all other",Nov-99,Line item,1333.7,1393.5,59.8,4.5,106.7,136550,Bachelor's degree,Less than 5 years,
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.4,23.2,1.9,8.7,2.2,96310,Bachelor's degree,Less than 5 years,
      Buyers and purchasing agents,13-1020,Line item,522.2,552.3,30.1,5.8,52.2,75650,Bachelor's degree,,Moderate-term on-the-job training
"        Claims adjusters, examiners, and investigators",13-1031,Line item,356.1,337.9,-18.2,-5.1,21.1,76790,High school diploma or equivalent,,Long-term on-the-job training
"        Insurance appraisers, auto damage",13-1032,Line item,9.2,8.4,-0.8,-8.2,0.5,76650,Postsecondary nondegree award,,Moderate-term on-the-job training
      Compliance officers,13-1041,Line item,418,430.3,12.3,3,33.3,78420,Bachelor's degree,,Moderate-term on-the-job training
      Cost estimators,13-1051,Line item,221.4,212.1,-9.3,-4.2,16.9,77070,Bachelor's degree,,Moderate-term on-the-job training
        Human resources specialists,13-1071,Line item,944.3,1002.7,58.4,6.2,81.8,72910,Bachelor's degree,,
        Farm labor contractors,13-1074,Line item,3.9,4.2,0.2,6,0.3,48690,No formal educational credential,Less than 5 years,Short-term on-the-job training
        Labor relations specialists,13-1075,Line item,65.4,65.4,-0.1,-0.1,5.1,93500,Bachelor's degree,Less than 5 years,
        Logisticians,13-1081,Line item,241,281.3,40.3,16.7,26.4,80880,Bachelor's degree,,
        Project management specialists,13-1082,Line item,1046.3,1105,58.7,5.6,78.2,100750,Bachelor's degree,,
      Management analysts,13-1111,Line item,1075.1,1169.7,94.5,8.8,98.1,101190,Bachelor's degree,Less than 5 years,
"      Meeting, convention, and event planners",13-1121,Line item,155.8,163.3,7.5,4.8,15.5,59440,Bachelor's degree,,
      Fundraisers,13-1131,Line item,134.4,140.2,5.8,4.3,10.2,66490,Bachelor's degree,,
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,107,112.7,5.6,5.3,8.5,77020,Bachelor's degree,Less than 5 years,
      Training and development specialists,13-1151,Line item,452.3,501,48.7,10.8,43.9,65850,Bachelor's degree,Less than 5 years,
      Market research analysts and marketing specialists,13-1161,Line item,941.7,1004.7,63,6.7,87.2,76950,Bachelor's degree,,
"      Business operations specialists, all other",13-1199,Line item,1205.7,1242,36.3,3,108.2,81270,Bachelor's degree,,
      Accountants and auditors,13-2011,Line item,1579.8,1652.6,72.8,4.6,124.2,81680,Bachelor's degree,,
      Property appraisers and assessors,13-2020,Line item,77.3,80.2,2.9,3.8,6.3,65420,Bachelor's degree,,Long-term on-the-job training
      Budget analysts,13-2031,Line item,50.4,51,0.5,1,3.1,87930,Bachelor's degree,,
      Credit analysts,13-2041,Line item,67.8,64.8,-3,-4.4,3.7,80970,Bachelor's degree,,
        Financial and investment analysts,13-2051,Line item,368.5,389.6,21.1,5.7,25.1,101350,Bachelor's degree,,
        Personal financial advisors,13-2052,Line item,326,357.2,31.2,9.6,24.1,102140,Bachelor's degree,,Long-term on-the-job training
        Insurance underwriters,13-2053,Line item,127,123.7,-3.3,-2.6,8.2,79880,Bachelor's degree,,Moderate-term on-the-job training
        Financial risk specialists,13-2054,Line item,60.5,64.4,3.9,6.5,4.8,106000,Bachelor's degree,,
      Financial examiners,13-2061,Line item,65.1,77.2,12.1,18.5,5.7,90400,Bachelor's degree,,Long-term on-the-job training
        Credit counselors,13-2071,Line item,31.8,32.9,1.1,3.3,2.2,50480,Bachelor's degree,,Moderate-term on-the-job training
        Loan officers,13-2072,Line item,301.4,306.5,5,1.7,20.3,74180,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,57.6,56.5,-1,-1.8,4.3,59740,Bachelor's degree,,Moderate-term on-the-job training
        Tax preparers,13-2082,Line item,90.6,94.7,4.1,4.5,10.4,50560,High school diploma or equivalent,,Moderate-term on-the-job training
"      Financial specialists, all other",13-2099,Line item,137.1,141.4,4.3,3.1,10.3,80190,Bachelor's degree,,
        Computer systems analysts,15-1211,Line item,521.1,566.5,45.5,8.7,34.2,103790,Bachelor's degree,,
        Information security analysts,15-1212,Line item,182.8,234.9,52.1,28.5,16,124910,Bachelor's degree,Less than 5 years,
      Computer and information research scientists,15-1221,Line item,40.3,48.3,7.9,19.7,3.2,140910,Master's degree,,
        Computer network support specialists,15-1231,Line item,152.7,155.5,2.8,1.8,9.6,73340,Associate's degree,,Moderate-term on-the-job training
        Computer user support specialists,15-1232,Line item,729.5,702.5,-27,-3.7,40.8,60340,"Some college, no degree",,Moderate-term on-the-job training
        Computer network architects,15-1241,Line item,179.2,200.6,21.4,11.9,11.2,130390,Bachelor's degree,5 years or more,
        Database administrators,15-1242,Line item,78,77.5,-0.5,-0.7,3.8,104620,Bachelor's degree,,
        Database architects,15-1243,Line item,66.9,72.7,5.8,8.7,4,135980,Bachelor's degree,Less than 5 years,
        Network and computer systems administrators,15-1244,Line item,331.5,317.7,-13.8,-4.2,14.3,96800,Bachelor's degree,,
        Computer programmers,15-1251,Line item,121.2,113.9,-7.2,-6,5.5,98670,Bachelor's degree,,
        Software developers,15-1252,Line item,1693.8,1961.4,267.7,15.8,115.2,133080,Bachelor's degree,,
        Software quality assurance analysts and testers,15-1253,Line item,201.7,221.9,20.2,10,14,102610,Bachelor's degree,,
        Web developers,15-1254,Line item,86,92.5,6.5,7.5,5.4,90930,Bachelor's degree,,
        Web and digital interface designers,15-1255,Line item,128.9,137.9,9,7,9.1,98090,Bachelor's degree,,
"      Computer occupations, all other",15-1299,Line item,472,510.5,38.5,8.2,31.3,108970,Bachelor's degree,,
      Actuaries,15-2011,Line item,33.6,40.9,7.3,21.8,2.4,125770,Bachelor's degree,,Long-term on-the-job training
      Mathematicians,15-2021,Line item,2.4,2.4,0,-0.7,0.1,121680,Master's degree,,
      Operations research analysts,15-2031,Line item,112.1,136.2,24.1,21.5,9.6,91290,Bachelor's degree,,
      Statisticians,15-2041,Line item,32.2,34.9,2.7,8.5,2,103300,Master's degree,,
      Data scientists,15-2051,Line item,245.9,328.3,82.5,33.5,23.4,112590,Bachelor's degree,,
"      Mathematical science occupations, all other",15-2099,Line item,5,5.2,0.2,4,0.3,71490,Bachelor's degree,,
"        Architects, except landscape and naval",17-1011,Line item,123.6,128.4,4.8,3.9,7.8,96690,Bachelor's degree,,Internship/residency
        Landscape architects,17-1012,Line item,21.8,22.6,0.8,3.5,1.7,79660,Bachelor's degree,,Internship/residency
        Cartographers and photogrammetrists,17-1021,Line item,13.4,14.3,0.9,6.4,1,78380,Bachelor's degree,,
        Surveyors,17-1022,Line item,56.1,58.6,2.5,4.4,3.9,72740,Bachelor's degree,,Internship/residency
      Aerospace engineers,17-2011,Line item,71.6,75.9,4.4,6.1,4.5,134830,Bachelor's degree,,
      Agricultural engineers,17-2021,Line item,1.7,1.8,0.1,5.9,0.1,84630,Bachelor's degree,,
      Bioengineers and biomedical engineers,17-2031,Line item,22.2,23.3,1.1,5.2,1.3,106950,Bachelor's degree,,
