site,Q1_age,Q2_sex,Q3_grade,Q4_hispanic,Q5_race,Q6_height_m,Q7_weight_kg,Q25_bullied_school,Q26_sad_hopeless,Q27_suicide_consider,Q28_suicide_plan,Q29_suicide_attempt,Q30_suicide_injury,Q64_sexual_identity,Q65_transgender,Q80_social_media_hours,Q81_video_game_hours,BMI
XX,3.0,1.0,1.0,,C,1.65,81.65,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,29.990817263544542
XX,4.0,2.0,1.0,2.0,E,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,
XX,5.0,2.0,3.0,2.0,E,1.68,74.84,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,26.51643990929706
XX,6.0,1.0,2.0,2.0,E,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,
XX,3.0,2.0,1.0,2.0,E,1.85,56.7,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,16.566837107377648
XX,5.0,2.0,1.0,2.0,E,1.8,72.58,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,22.401234567901234
XX,6.0,2.0,3.0,2.0,E,1.83,74.84,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,22.347636537370477
XX,4.0,1.0,1.0,2.0,E,1.52,73.48,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,2.0,31.804016620498615
XX,4.0,2.0,1.0,2.0,BC,1.65,61.24,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,6.0,2.0,22.494031221303953
XX,6.0,1.0,3.0,2.0,C,1.63,53.07,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,6.0,3.0,19.97440626293801
XX,5.0,2.0,2.0,2.0,E,1.7,63.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,21.972318339100347
XX,4.0,1.0,1.0,2.0,C,1.57,72.12,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,29.25879346018094
XX,4.0,2.0,1.0,1.0,A,1.68,65.77,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,23.302862811791385
XX,7.0,1.0,3.0,2.0,C,1.63,136.08,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,51.21758440287554
XX,4.0,2.0,2.0,2.0,C,1.75,73.94,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,7.0,2.0,24.143673469387753
XX,3.0,1.0,1.0,2.0,E,1.68,97.52,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.0,8.0,2.0,34.55215419501134
XX,4.0,2.0,1.0,2.0,E,1.88,122.47,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,34.65086011770032
XX,7.0,2.0,3.0,2.0,E,1.93,68.04,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,18.266262181535076
XX,5.0,1.0,3.0,2.0,E,1.65,49.9,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,18.328741965105603
XX,5.0,1.0,1.0,2.0,E,1.52,52.16,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,22.576177285318558
XX,5.0,2.0,3.0,2.0,C,,,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,
XX,5.0,2.0,2.0,,C,1.9,131.54,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,36.43767313019391
XX,7.0,2.0,4.0,1.0,,1.73,95.26,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,31.828661164756593
XX,5.0,1.0,3.0,2.0,C,1.8,83.01,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,25.62037037037037
XX,6.0,1.0,3.0,2.0,C,1.63,59.88,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,2.0,22.537543753999024
XX,5.0,1.0,2.0,2.0,C,1.65,68.04,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,24.991735537190088
XX,6.0,1.0,4.0,2.0,E,1.6,47.17,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,6.0,2.0,18.425781249999996
XX,6.0,1.0,3.0,2.0,E,1.75,74.84,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,24.437551020408165
XX,5.0,2.0,2.0,2.0,C,1.83,83.92,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,25.058974588670903
XX,7.0,1.0,4.0,2.0,E,1.78,74.84,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,3.0,23.620754955182427
XX,6.0,2.0,3.0,2.0,E,1.75,63.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,3.0,20.73469387755102
XX,5.0,1.0,3.0,2.0,C,1.6,70.31,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,8.0,2.0,27.464843749999996
XX,5.0,2.0,2.0,2.0,C,1.78,79.38,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,25.053654841560405
XX,7.0,2.0,4.0,2.0,C,1.85,63.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,18.553688823959092
XX,6.0,1.0,3.0,2.0,C,1.65,62.6,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,22.99357208448118
XX,4.0,2.0,2.0,2.0,C,1.9,69.85,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,19.349030470914126
XX,6.0,1.0,4.0,2.0,E,1.63,53.07,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,19.97440626293801
XX,7.0,2.0,3.0,2.0,C,1.93,111.13,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,29.834357969341458
XX,6.0,2.0,3.0,2.0,E,1.8,122.47,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,3.0,37.79938271604938
XX,6.0,2.0,2.0,2.0,C,1.73,70.31,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,23.492265027231113
XX,6.0,1.0,3.0,2.0,E,1.63,57.15,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,3.0,21.510030486657385
