NAME,B08303_001E,B08303_002E,state
Pennsylvania,5652158,179118,42
California,16710195,303289,06
West Virginia,697042,26827,54
Utah,1378826,51948,49
New York,8584828,196575,36
District of Columbia,332618,3619,11
Alaska,330203,26561,02
Florida,8817718,153528,12
South Carolina,2174285,63825,45
North Dakota,380227,31557,38
Maine,608861,28170,23
Georgia,4475685,95368,13
Alabama,2002359,52240,01
New Hampshire,656277,23049,33
Oregon,1790252,64629,41
Wyoming,267249,23274,56
Arizona,2897654,77224,04
Louisiana,1917930,59709,22
Indiana,2985939,102045,18
Idaho,744565,40350,16
Connecticut,1641807,40309,09
Hawaii,657643,14293,15
Illinois,5686627,161226,17
Massachusetts,3251466,75773,25
Texas,12371575,312869,48
Montana,471094,36115,30
Nebraska,928064,60888,31
Ohio,5163570,178717,39
Colorado,2604698,70072,08
New Jersey,4016070,82225,34
Maryland,2799889,43209,24
Virginia,3883690,85491,51
Vermont,292982,12856,50
North Carolina,4458769,121589,37
Arkansas,1238100,56622,05
Washington,3302637,89352,53
Kansas,1345103,78427,20
Oklahoma,1674019,72016,40
Wisconsin,2747826,113388,55
Mississippi,1193668,38155,28
Missouri,2707728,93120,29
Michigan,4288646,129237,26
Rhode Island,495214,12222,44
Minnesota,2654657,94762,27
Iowa,1482217,96976,19
New Mexico,829659,32649,35
Nevada,1321596,28302,32
Delaware,419600,9337,10
Puerto Rico,969379,19320,72
Kentucky,1858458,65617,21
South Dakota,411590,33878,46
Tennessee,2909026,73346,47
