influence	blend_in	special	leader	authority
0	no	yes	yes	yes	yes
1	no	yes	no	no	no
2	yes	no	yes	yes	yes
3	yes	no	no	yes	yes
4	yes	yes	no	yes	no
5	yes	yes	yes	yes	yes
6	yes	yes	no	no	no
7	no	no	no	no	no
8	yes	no	no	no	yes
9	yes	yes	no	yes	yes
10	no	yes	no	no	no
11	yes	no	yes	yes	yes
12	yes	no	yes	no	yes
13	yes	yes	yes	yes	no
14	yes	no	yes	yes	no
15	yes	no	yes	yes	yes
16	yes	yes	no	yes	no
17	no	yes	no	no	no
18	no	yes	yes	no	no
19	yes	yes	no	yes	yes
20	yes	yes	no	no	no
21	yes	yes	yes	no	yes
22	no	yes	yes	no	no
23	no	yes	yes	no	no
24	yes	yes	no	yes	no
25	yes	yes	no	yes	yes
26	yes	no	yes	yes	yes
27	yes	yes	no	no	no
28	no	yes	no	no	no
29	no	no	no	no	yes
30	no	yes	no	no	no
31	yes	yes	yes	yes	yes
32	yes	no	yes	yes	yes
33	yes	no	yes	yes	yes
34	no	yes	no	yes	yes
35	yes	no	no	yes	yes
36	no	no	no	yes	yes
37	yes	yes	no	no	no
38	yes	yes	no	yes	yes
39	yes	no	yes	yes	yes
40	yes	yes	no	no	no
41	yes	yes	yes	yes	yes
42	yes	no	yes	yes	no
43	yes	no	no	yes	yes
44	yes	no	no	yes	no
45	no	yes	no	no	no
46	yes	yes	yes	yes	no
47	yes	yes	yes	yes	no
48	no	yes	yes	yes	yes
49	no	yes	no	no	yes
50	yes	no	no	no	no
51	no	no	yes	yes	yes
52	yes	yes	yes	no	no
53	no	yes	yes	yes	yes
54	no	no	no	no	yes
55	yes	yes	no	yes	yes
56	yes	no	yes	no	yes
57	yes	no	no	yes	no
58	yes	yes	no	no	no
59	no	no	yes	no	no
60	yes	yes	no	yes	yes
61	no	yes	no	yes	yes
62	yes	yes	yes	yes	yes
63	no	yes	no	no	yes
64	yes	no	no	yes	yes
65	yes	yes	no	yes	yes
66	yes	no	yes	yes	yes
67	yes	no	yes	yes	yes
68	no	yes	no	no	no
69	yes	no	yes	yes	yes
70	yes	yes	yes	no	yes
71	yes	yes	no	no	no
72	yes	no	no	no	yes
73	yes	yes	no	no	no
74	yes	yes	yes	no	yes
75	yes	yes	no	yes	yes
76	no	yes	no	no	no
77	no	yes	yes	no	no
78	no	yes	no	no	no
79	no	yes	yes	yes	no
80	no	yes	no	no	no
